"n"	"date"	"dream"
"0360"	"(2017-05-27)"	"On a bright and clear sunny day I'm on a naval ship at sea. A nuclear demonstration is underway. A non commissioned sailor has jumped overboard into the clear water. As he swims beneath its surface, illuminated by sunlight, he points out the oceanscape of many smooth jagged rocks, which point upward like sharks teeth. Before surfacing, he mentions nuclear radiation. Back on board, we await the return of four fighter pilots. Standing before a large mirror, we compare their photo portraits. In their flying suits, the young men are bearded or beard shadowed, masculine and handsome, confident and smiling. A wave of recognition passes over us. Four of us will impersonate the pilots. The actor Roddy McDowell, sullen and depressed man, grim and gray colored, like a black and white photograph, walks by. [195] He's just returned from flying and is downhearted by criticisms from his superiors. I go to comfort him As he tells me their words, from behind, I embrace him, offer him kindness, words of encouragement. I like this man. I really like him."
"0361"	"(2017-05-28)"	"It's night. I'm in an Asian or Central American country ruled by the military. An open top flat bed truck, with a canvas curtain partly shielding it's load, arrives in a remote village. There are people behind the curtain. Are they soldiers? Will they machine gun the villagers? No. It's a fumigation crew whose job is to fumigate the villagers. An elder female is compelled to stand still while she is doused with a thick white billowing toxic cloud. I hear myself thinking, ""No. No. No."" The scene changes. In the village, I'm in a dark cozy room. The man I'm talking with tells me they do not have elections often. I speculate elections are held only when they are needed. The important person we've been waiting for arrives. An older, somewhat emaciated black man, the skin of his face colored with green pigment, his skull made prominent by his frailty, he wears a green veil-like costume, bordered in gold, which covers all but his eyes. He is a happy man, given a talk."
"0362"	"(2017-05-28)"	"In France or another foreign country I'm in a darkened bedroom in an old country house, Outside, the wind howls. Someone tells me it's the wind that shakes the windows, that makes the shrill haunting noise. I look about, at the old cupboards and shelves, at the old thick walls. What is behind the door? My dog comes in. She is old, fragile, seeking warmth. As I lie on the bed she hops on top of me. She snuggles under the covers and I feel her warmth. I love this dog with all my heart. I will do anything for her. I'm petting her. Loving her. After a time the covers fall away. She whimpers and crawls back inside, but not for long. Our movements cause her to shift, to lose her place on me."
"0363"	"(2017-05-28)"	"Walking down a stairway I meet Peter A, who is wearing a brown winter coat. [196] He is confident, smiling. There is no need to shake hands. His young daughter is with us. As she plays and talks, she asks Peter questions. I want to tell him how lovely she is. How happy and well adjusted."
"0364"	"(2017-05-28)"	"I'm sitting on the toilet when a young UFC fighter, barefoot, wearing his fighting trunks, and who looks and acts like Ronnie N, enters the bathroom. [197] [198] He says nothing, stares at me. I ignore him, and begin to wipe myself with a paper towel, concerned that it may clog the bowl. When I look up, the UFC fighter is masturbating. I say, ""What the fuck are you doing, man?"" He mumbles inaudibly. I say, ""Get the fuck out of here. I'm gonna tell all your friends you were jerking off to an American wiping his ass."""
"0365"	"(2017-05-29)"	"I'm in a room filled with mostly men. On stage, my (dream) brother holds forth on matters of the day. From the back of the room I stand up. Holding up a small dark globe in my right hand, in a loud voice I say, ""Tell me about this, buddy! Huh, tell me about this!"" My brother freezes, astonished. I hold up a second globe. Gold letters spelling a word revolve in its hollow interior. ""Or this, buddy! Tell me about this!"" My brother is equally dumbstruck. Vigorously I say, ""Tell you what, I'm gonna make you a deal. Tell the truth. Right now. Take this opportunity to tell the truth or I am gonna kill you."" After a pause, I say, ""And when I say that, I mean figuratively. In a court of law, I'm gonna swat you with my hands and crush you."" My brother says, ""Why should I talk?"" I say, ""Because you don't have a fucking chance. You hear that. Not a fucking chance."" Cheering, the men in the room rise to their feet. All the while, we have lost sight of my other (dream) brother, Lewis, who is equally guilty. On stage, my (dream) brother begins talking, but it's only a digression."
"0366"	"(2017-05-30)"	"I'm in an all male martial arts class. Everyone is dressed in black civilian clothes. A young Hispanic man and I are about to put on a demonstration. From fifteen feet away, he will take several quick steps and kick me in my genitals as hard as he can. Impatient, he warms up, practicing kicks. A moment before he launches the attack, but too late, I shout, ""Stop!"" and manage to block the kick with my hands. ""I said stop,"" I tell him. He replies, ""You have to do this."" ""For who?"" I ask. ""For prom,"" he says. The rhyming phrase 'for Mom' crosses my mind, but I don't say it. Waking, I say, ""I don't have to do this."""
"0367"	"(2017-06-01)"	"I'm on the second floor of a mail fulfillment center, walking about, and look into an enormous room where the floors, walls and ceiling are made entirely of polished wood. From small hangers lining each side of the room hang hundreds of men's ties. ""So this is how they do it,"" I think to myself. The hanging items have been returned or are ready for shipment. I'm tempted to steal one, but it's more satisfying not to. Turning around, I walk down the long narrow staircase. From behind me, at the top of the stairs, a stout middle aged woman, a supervisors, says, ""Here's the last one."" Down the steps, she rolls a long cardboard tube, to be mailed out. In relation to my job she asks, ""How are you doing?"" ""I'm good,"" I tell her. As I reach the last step, partly turning round, humorously I say, ""I hope."" She laughs, as do the other workers. There is much work to be done, and done correctly."
"0368"	"(2017-06-02)"	"Recommended by a friend, I'm a guest in the basement of a house which belongs to an artist, a tall handsome exuberant man. In the house are various servants, including a tall thin eccentric Chinese man who constantly makes silly dance movements. The artist is talking on a landline phone, involved in a long conversation. I'm at his knee, waiting. Eventually he hangs up, we talk, and he shows me one of his paintings, the style for which he is known: a long panel depicting a group of children, which in small ways he renders strange. It becomes apparent that I don't know his name. ""That's social skills, "" I tell him, referring to my friend, who is alone in a nearby darkened room. The artist laughs heartily. We talk about the servants. But what about my work? My writing? We do not discuss it. Now that it's late, he offers me a place to sleep on the linoleum tile floor. Amongst the bric-a-brac, he points out a chrome plated coffee maker. There are brambles and bugs here. I see a scorpion scurry away. I can't sleep on the floor. It's not safe. When he leaves, I decide to return to my house, a half mile away. I will take my purple towel and backpack, but due to the weight leave behind the sheaf of copy paper. I head home through a narrow high walled street. Much like the old quarters of European cities, the street is crowded with people and movement is slow. In fact, it's a dead end, leading to an elegant waterfront promenade where many wealthy people lounge and congregate. Along the waterfront, beneath tall white canvas tents, beautiful young men and women, wearing bathing suits or ballet costumes, energetically perform a popular new dance which I think is silly. Heading back, I pass a fat young girl; unembarrassed by her appearance, she dances by herself. What will my friend or the artist think when they see that I've gone? I don't care. My decision, to leave the house, feels right. My objective is to return home, which is safe."
"0369"	"(2017-06-03)"	"I'm at a restaurant sitting at a table with other people. A large German Shepherd, lying on its side, soaks up the affection as everyone pets it. Another dog appears. A diminutive black mutt, part Lab, part spaniel, it seems to belong to someone else, but whom? I like this dog, and it follows me around. When I pick it up in my arms to care for it, the dog is gentle, nearly submissive, as if it has been emotionally injured. I head home, walking down Highland Place, wondering what to do. I like this animal, but do I really want this unneutered female with her extended nipples and long black penis? As we near the house, I'm torn. If I do not keep the dog, who will take care of her? She will sleep outside. She will be hungry and cold. Keep or abandon? I decide the latter, and it seems she has disappeared, but she emerges from an alley continues to follow me home. Near my house, I see two neighborhood friends with small frisky dogs which limp. Their left rear legs have been amputated or shaved, it's hard to tell, though it's due to recent vaccination. In the stairway of the house are several middle aged women about to go up my apartment. Pointing to the black mutt, I say, ""That dog stays here."" The mutt has changed color from black to white. She looks so sad. I'm torn. Should I keep or abandon this poor needy dog?"
"0370"	"(2017-06-03)"	"I'm walking in the woods when overhead I see a small Halloween witch flying on a broomstick. ""That can't be,"" I say to myself. I run to the spot where the witch has crashed into the upper branches of a tall tree. Suddenly, to my right, a roaring noise; in the distance, heading this way, an enormous bomber or cargo plane appears in the sky. Almost immediately, three to four hundred feet overhead, a futuristic spaceship, silver, aerodynamically shaped like a race car, with smooth curved edges. A Chinook helicopter appears; next, a boxy satellite. I've happened upon a coordinated space event. With hundreds of people, I'm part of a large line walking towards a large building or area where the event will be held or explained. Waiting to enter, a young woman who wants to meet men speaks to me. She is not particularly attractive, her teeth are pronated, but she is happy, ebullient. I offer her words of advice and encouragement."
"0371"	"(2017-06-04)"	"With a half dozen other young people I'm in a barn-like room. We take turns performing theater roles or reciting poetry. At my turn, I improvise a religious chant, which is received with much applause. Apparently the young people don't realize I've made it up, it's not memorized or authentic. There's a second go round, but at my turn I decline. Mistakenly, I say that I have completed my obligation. The remark is met with silence. Next, though my part is unclear I'm included in play rehearsals. As I lie on the dirty floor, bare chested and filthy, a girl who resembles the waitress Rachel wonders about a theatrical phrase. I clarify it for her. ""The bull in the yard."" Is she ready to perform outdoors in a Western to a few dozen people? She is, with likely an audience of two hundred. We begin flirting. I come close and press myself upon her as we begin to neck."
"0372"	"(2017-06-04)"	"At night, on a high floor in a large house with many rooms and occupants, I look down onto the busy street. Groups of rowdies roam among the jammed traffic. There are shouts. A man in plain clothes, a large ornery man claiming to be law enforcement, enters my room, takes a pen from my desk. He's looking, he says, for hooligans or immigrants. The scene changes. I find myself with two men trying to escape to Siberia. We're lost, walking the streets not knowing where we're headed. A handsome man, a natural leader, enters a crowded restaurant to ask directions from a waiter or chef. Afterward he relates the directions to me and I become angry and critical. I tell him the directions are wrong. Like in Mexico, the chef or waiter did not understand his question; they simply 'yessed' him. I'm aware of being too harsh, too negative. The handsome man suggests we buy a map. It's a brilliant idea. Why didn't I think of it? What common sense! At an upscale bodega we purchase a map similar to those I put on the wall of my apartment in Northampton. [199] The scene changes. As we sit on the second floor of the bodega the handsome man asks what bothers me. ""It's a long story,"" I tell him. I don't want to talk about the war, about my life afterward. I notice that being an immigrant has turned his complexion. In places it's blotchy or red. We continue walking, now only the two of us. At an intersection I anticipate when he will turn, but he changes stride and direction, and cuts me off. Pointedly I ask him, ""Why do you always to that?"""
"0373"	"(2017-06-04)"	"I'm on a busy city street waiting for My former girlfriend Karen. When she doesn't show up I decide to leave. But now I'm naked, wearing only white bed sheets around my body, and carrying my black and white bed spread and two pillows. I don't care what people think. I begin walking, careful not to drop the things I carry."
"0374"	"(2017-06-05)"	"I'm capable of flying by rising up slowly into the air and floating. In this way, spreading my arms, squinting my eyes., I leave my grammar school's little playground. A short husky man wearing a tan trench coat, who I assume is CIA, watches me. In the sky I met Jay and a woman. They refer to me in a code which means I'm in a specific category of individuals capable of flight. I tell them the CIA knows this. I tell them, hoping they will offer help, that I've just seen a doctor for headaches."
"0375"	"(2017-06-05)"	"I'm attending a sporting event in a wide open field where many people are present. From a distance, charging toward me on a large brown horse is my mother. She pulls the horse up to the tall clear plastic barrier, a sort of large window pane, behind which I stand. My mother has something to tell me. ""Closer,"" she says, meaning she does not want anyone to hear, I should move closer to the barrier. The horses large head knocks against the barrier, which in turn hits me. I'm angry, hurt, and my mother does not know it. This is just like her: nagging, pestering, ruining the moment. My mother tells me about fencing practice. Where to go to be on the team. I'm only hurting myself, but to hurt her, I walk away, even as she calls me to come back. The scene changes. At My old high school, where the practice is held, I enter the wrong stairway, which leads to the chem lab. ""I always do this. I never get this right,"" I say. What to do? It's a long way to the other side of the school. Being on the team requires practicing three times per week. I'd rather go home and watch TV."
"0376"	"(2017-06-06)"	"My former girlfriend Karen and I are walking along a quiet street. While counting the money in my wallet I notice a one dollar bill with spectacular printing error: the reverse side appears on the front and back. We stop at a small stamp and coin shop, where I ask the owner, a short stocky balding man, what the bill is worth. I note the embedded laser anti-counterfeit image, the old time hand pressed office stamp, the Treasury Department's unique currency paper. As we review the lengthy serial numbers he looks for a specific numeric combination. ""Is it worthy anything?"" I ask. His reply is vague, non committal; but then he makes a modest offer, and I suspect the note has significant value and ask for it back. When the owner pretends he no longer has it, I tell him I'll call the police. He does nothing so I make the call. ""My name is Marc Levy. I'm a Vietnam vet. I'm at a store..."" I tell the 911 operator I'm getting angry. I tell her there could be trouble. ""Do you copy?"" I ask. Neither My former girlfriend Karen or I know the address and approximate it. When I hang up, the owner hands me the bill. ""Too late,"" I tell him. ""The cops are coming. I hope someone forgives you. If I had a gun..."" My former girlfriend Karen and I leave. The scene changes. At a dance for wealthy people who are dressed in formal dinner wear, I spot an object someone has dropped on the floor. Discreetly, I pick it up, nonchalantly walk through the dancing couples, and leave. My former girlfriend Karen and I catch a bus. The bus and the road we travel on are identical to An Loc. [200] Soon the authorities or bank robbers arrive. To escape, I jump off the bus. When it's safe, I emerge from the jungle, walk back to the road, frequently call into the jungle, ""My former girlfriend Karen...Karen...Karen."" But she does not appear or reply. I meet and talk with two American's dressed in dark suites and ties. They're interested in the object I've found; it's a passport case, they tell me, not a wallet, as I had hoped. Is it worth money? I ask. When they try to steal it, I shoot one American, then the other, first in the head, then the lungs. I do this several times. Each time with satisfaction."
"0377"	"(2017-06-09)"	"At night, in my underwear, I walk in the woods. From behind me, I hear voices. Turning round, through the bracken, I watch a family ride past on bicycles. I begin walking up a steep trail that's muddy and washed out, letting myself slide backwards, as if skiing in reverse. After finding my way to the water, which is vast and clear, on the way back to the road I'm surprised to see how the water has risen. I wade slowly forward, pushing in front of me a sandbank that acts as a dam, but also accelerates the overspill. Once over the dam, I enter a grim flooded warehouse. The water here is nearly black. It's necessary to walk past a parked bus; at my approach it starts up. The driver, who doesn't see me, comes too close, forcing me to stand clear. The water becomes deeper, swirling, filthy. Hip deep, I wade past a mechanical buoy shaped like an oil barrel. Tethered to a chain anchored to the floor, spinning slowly round, the buoy is capable of dragging me down. Don't the people in charge know any better? The fast moving water, which is filthy, black, polluted, becomes neck deep. Struggling to keep my head above water, I half swim, half tread to a wall, which has banisters I can grasp. I'm not afraid. I can do this. I will not allow myself to drown. The scene changes. Having escaped the warehouse, I descend a narrow stairwell; ahead of me, a Mideast mother, father and child. There is tension here. The cranky child slows them down. At a stair landing the woman stops to tie the child's shoe. When they resume walking the father speaks to his wife in an English accent. When the woman stops a second time I grow impatient. ""Excuse me, Miss,"" I say, wanting to get past her. But she does not move. ""Miss, excuse me."" Angered by her ignoring me, I imagine pushing her down the stairs, watching her tumble."
"0378"	"(2017-06-10)"	"After walking through my grammar school's little playground, turning the corner after the place for the game ""bombardment alley,"" and walking to the long wide corridor that leads to the street, I see a young boy and mistake him for someone else. I shoot him. ""No!"" he screams, then tumbles down. I can't be bothered, and continue walking and enter Ivy Hill Park. From one hundred yards, I spot the fencing team at practice. But now that I'm old, these can't be my team mates. Or are they? Is that coach Joe Scalamoni? Is that Tommy Praino, Ritchie Blonna, Marc Volpe, Bruce and Steve? I continue walking, but now with the pistol grip of a fencing foil in my right hand. A brawny policeman stops me, asks for identification. It's clear he suspects something, wants to make an arrest. I take out my black nylon wallet, show him my drivers license. He says to repeat the process, but this time show him something with my social security number. He moves closer, trying to intimidate me; he has an enormous cartoon like head. We are face to face, nearly touching, but I do not back down. I show him my military ID card, too late realizing it does not have the number he wants. The scene changes. I'm in a deep lake. Menacing crocodiles slither up and down in the dark water. I call for help. A huge crocodile attacks and bites me. At first I have fear and call for help. But the bite, though powerful, is not painful; the beast is made of flexible green nylon fabric. Still, I can be dragged down. Repeatedly, I punch one beast, then another, on the snout or head. ""Help!"" I'm calling. ""Help!"" But no one comes to my rescue."
"0379"	"(2017-06-11)"	"An agreement has been reached between the residents of a village and the occupying Germany army. Without fear of retaliation, the citizens can approach a German soldier and say whatever they like. A pretty young girl walks up to a soldier who wears a high ranking officers cap and cape. She begins to read from a prepared statement, though first saying to loudly to herself, ""Go, Rachel. You can do this."" Moments into her statement, the German tells her to stop, which causes the villagers to boo and jeer. The scene changes. It's night, raining. There is lightning. Rachel is seated in an alcove similar to 39 Ivy Street. There is the heavy rounded top wood front door; in it, or the walk-in closet outer wall, the small round window. I tell Rachel, for her age strikingly mature and intelligent, that she had fallen asleep, that several hours have passed. She believes me. There, I've done it. I've fooled this impetuous little girl. But I'll have to tell her the truth."
"0380"	"(2017-06-13)"	"From above, I look upon a vast deserted shoreline. On the beach, someone with a guitar plays folk music. In the distance, I see Bob, Florence and Rocco M, and reflect that Bob always stayed with his parents, though I know this isn't true. [202] Someone watches as I lie on the hood of a car while a man resembling Jeff approaches. [203] As this man and I make small talk he begins to fondle me. I say, ""What are you doing?"" push away his hands, fold it backward upon itself. He winces in pain. I say, ""You'll be alright in a week or Jew."""
"0381"	"(2017-06-13)"	"I'm the only male in the office of a small enterprise staffed by two or three women. From the second floor a woman bearing a strong resemblance to Mrs. Oliver enters the well-lit room. [204] My phone rings. The caller asks about the film playing today. I have no idea, and via stream of consciousness tell the caller the film is about the Khmer Rouge, that it was made in Boulder, Colorado, and depicts Siem Reap, and how the Khmer Rouge exploited its factory workers. I say the word ""Cambodia"" several times. [205]"
"0382"	"(2017-06-14)"	"In Switzerland, I've found my fifth-grade teacher at my grammar school. She gives me food, allows me to sleep on the wood parquet floor of the little apartment she shares with a friend. I'm as quiet as possible. Alone in the apartment, we talk. It's Kara. It really is. With her long brown hair and her warm sad face, she is still beautiful. As we lie on the floor, she allows me to press myself upon her to kiss her. We talk about the monthly VA check I had signed over to her. She still receives it; $244 per month. What to do? Kara and her friend do not make much money. About $1200 per month. But what about me? And what if the VA finds out? We talk about helicopters. How to co-ordinate the flights so we can continue to meet."
"0383"	"(2017-06-15)"	"At a large and grim college I enter a twilit room. On my bookcase, in a light green plastic bag, someone has left two books. Who is here? I follow a drunk male student and sit with him on a couch. The student is friendly, harmless; when he shifts his body, I see that he's sat on his brown potato chips. Leaving the room, in a high walled dungeon like corridor, I meet a good-looking middle aged brunette. Though I'm immediately attracted to her, she is wary; she thinks I'm following her. ""Excuse me, Miss. Can I ask you a question?"" Happily, she says, ""Yes."" I ask, ""Are you single?"" She is, and even before I ask her out, my mood, voice and demeanor reflect my abundant well-being. I ask, smiling, laughing gently, ""Would you like to have coffee with me?"" She agrees, but we must hurry to where she must go, and race down the corridor, where momentarily I lose sight of her. After looking left and right, outside, down a narrow garden-like path that leads to the street, in the distance I see several women, but not her. I turn back, slide down a steep wet cement embankment that leads to an enormous mediaeval double door made of wood. I hammer my fists upon it. It's no use. She's gone."
"0384"	"(2017-06-15)"	"I'm in a small living room crowded with men who have gathered for a group Civil War re-enactment photo. G has given us instructions. [207] We'll break for a few minutes, then return for the photo. From the corner of my eye, I catch sight of Pete C walking up a narrow staircase. [208] I tell G I want a pistol, not a rifle. He motions me to a small square bedroom, furnished only with a large bed topped with white sheets, a dark wood antique chest of drawers. So this is where it happens. [209] G hands me a slim black and white antique catalog. He tells me to choose a weapon, but the solid black pistols look more like beetle specimens than hand guns. ""It doesn't matter,"" I tell him, ""but next time, I want a sheriffs badge."" Enthusiastically, I say, ""Yeah, I'll be a sheriff."" We enjoy this clever funny thought but without laughter. Back in the living room I re-join the uniformed men; crowded together, they instinctively point their rifles in the air."
"0385"	"(2017-06-17)"	"In a crowded dimly lit night club, near the bar, I'm wrestling with a man or woman who resembles my brother. We're tussling, lying sideways. Slowly the wrestling becomes sex. I'm behind him/her, grabbing breasts, entering. It's so exciting, pleasurable, intimate. The scene changes. I'm standing behind a petite young woman. She's bent over; her rump raised in the air, we simulate sex. After I've turned and walked away a young man with a slight beard, long hair, and wearing 70's disco clothes, approaches me. He is the girl, distressed by what happened. I leave him to go to my nearby apartment, but the way is blocked by a microphone, musical instruments, electric cords. A seated young couple watch as I try to step past the obstacles, slowly topple them to the floor. I enter a barn-like building where a Golden Retriever, quite old, excited to play or eat, continually nips and nuzzles me. Past a floor strewn with garbage (chicken wings are abundant) I enter a kitchen cluttered with an array of vegetables, sorted in neat rows laid out on the floor. In a small darkened broadcast or recording booth, a young fashionable Asian woman, a singer or DJ, ignores me as I try to step past her."
"0386"	"(2017-06-17)"	"At night, in a city like New York, My former girlfriend Karen and I walk up the street. In the dim light I recognize a tall heavy set man wearing a bulky black full length coat. I know this man. I know him well. ""Donald, I want you to meet a friend of mine,"" I say. ""This is..."" I can't recall My former girlfriend Karen's name. To them both I say, ""Oh shit, I'm having a memory slip!"" At last, I say, ""My former girlfriend Karen, this is Donald Trump."" He shakes our hands. Silently, I wonder where he's going for dinner, and hope he might ask us to join him. But Trump is busy and ambles away."
"0387"	"(2017-06-18)"	"At night, my grandfather drives my brother and I to White Meadow Lake. We are six and seven years old, the three of us seated together, my brother in the middle; I sit by the passenger door on this two hour drive. After a time I ask my grandfather, ""Moe, you doing all right?"" In the darkness, I hear my grandfather say, ""Yeah."" His voice is distant, depressed, like my own. In the next lane a car slowly passes by. I expect it's someone I know, but it isn't. I imagine being shot at close range. A large metal plate, covering the window and door would protect us. Down the long winding highway my grandfather drives fast and steady, in complete control. How does he do it? I would crash, as if destined, and imagine colliding with a guard rail, flying over an embankment, falling into a ravine, smashing into a tree. I imagine the moments before impact, before death. I imagine the three of us mangled and dead. ""Too bad they weren't wearing seat belts,"" the investigators would say. We arrive at White Meadow Lake. In moonlight, through a forest, the three of us walk up a steep hard packed dirt trail. My grandfather falls behind. Closer to us, a man or woman pushes a grocery cart, which continually rattles. ""I forgot my shirt,"" I tell my brother. I tell him returning to the car is too much effort. The people who live here must know to avoid extra trips. Finally we reach a grassy embankment and need to carefully step down. I tell my brother, ""There's a ledge here. Step on it."" In response, my grandfather pats me on the shoulder. Entering the house, my uncle Shelly greets us. With a garden hose he sprays clean a row of flooded toilets. To avoid inhaling the mist I hold my breath and hurry past. Inside the house, his daughter Marna walks up to me. Should we kiss or embrace? We shake hands. ""I saw your books,"" she says. ""I'm going to get them."" I express surprise and indirect caution. Framed by a door, Uncle Shelly stands twenty feet behind her. He is young, full bearded, handsome, and has an impressively hairy chest. An old college friend, Ronnie Weinberg, in his late twenties, enters. Forthrightly, in his easy chuckling way, he says hello as we shake hands. He mentions the four POWs. I have heard of them but only vaguely. I tell him the mainstream media intentionally limits the news. Ronnie is surprised. It's on the news, he says. Their jet slammed directly into (unrecalled). They're being held by guerillas or a militia. The mood in the house is upbeat."
"0388"	"(2017-06-18)"	"It's morning. I'm in a bunk house similar to the CIT bunk at Elk Grove Camp, with its timber walls, steel frame army bunk beds, the wood plank floor. I'm lying on a top bunk, beneath a wool army blanket, reading a book. I look to my left, out the front door. What is that noise? Suddenly, hundreds of wild horses, like those painted on cave walls, enter the bunk house, galloping over the beds, round and round, a beautiful carousel. Somehow, there's no danger, only the sight of the whirling animals, only the sound of their trampling hooves. Round they go. Then they are gone."
"0389"	"(2017-06-21)"	"I'm in a long crowded hallway crowded where many dying people lay on a long narrow bench. Rushing, pushing past the dead, I'm being chased, grabbed from behind. When I yell or shout, my voice is stunted, weak. At the corridor's end, I enter a dark apartment living room. Mockingly, I ask ""How is everyone?"" It's a scene out of a concentration camp. Even in darkness, I see corpses stacked everywhere. A girl wearing a surgical mask approaches. I know this girl. She is somehow infected. I don't want to be near her. I try to push her down dark steps. As we struggle, she attempts to bite my hand, to lead me to others, to her parents. I resist. I don't want this. No. I don't want it."
"0390"	"(2017-06-22)"	"I go walking in the woods, confident that even as it grows dark there will be enough light to return. Soon I'm lost. In darkness, after making my way through a thick pine forest, then up a steep hill, I scamper up a clearing, only to discover it's the open lens of an astronomic telescope, similar to Mt. Palomar. [210] ""Nice,"" I say in ironic despair. I slide down the wide glass lens, run down a hill, and find my way to a familiar small town. The wide main street is lined with 1950's mom and pop stores. I will call a cab. I will find out where I am, choose a store, and call a cab to the store's location. But I don't have a taxi phone number. I continue walking, and am behind a tall attractive middle-aged woman. She's worried and begins to run. Is it me? Doe she think I'm odd or strange? At a long overhead awning which leads to a luxury apartment building, she turns left, and talks to a young woman about ""the girls,"" possibly her young daughters. It has nothing to do with me. I walk to a golf driving range. A large sign heralds its name. There are tall vertical barricade nets and individual driving booths. There are tall poles with field lights that illuminate the grounds. I will call a cab to this familiar friendly place."
"0391"	"(2017-06-24)"	"I'm sitting in a booth at a well lit uncrowded diner. Two tables away, a happy young couple, clearly hungry, tuck into their full plate meals of meat, potatoes and veggies. I want this food, but order something simpler. When I'm done I spread a paper towel upon the table; with another, I wipe my mouth. My waitress, who resembles Sophia Loren and Ester Greenspan, has laid her arm upon the table. [211] Her open hand awaits the napkin but I simply don't see it. The waitress is smiling at me. A brief exchange. Is she happy and good natured? Or are we flirting? I really like this woman. I would like to ask her out."
"0392"	"(2017-06-26)"	"Without warning a boy suddenly stabs the man near me, a painful, unmerciful thrust that kills him; a terrible way to die. With someone else, I hunt the boy down, do as he had done, and he falls to the ground, in agony holding his side. As he bleeds to death, we leave him. The dream repeats itself. This time the boy is skinny, dark completed, possibly from India. He sits at a table in a basement restaurant, carving small wood bowls. I begin talking to him, this quiet intensely intelligent child. When he tries to stab me I block the blade, call the police."
"0393"	"(2017-06-27)"	"Something bolts onto the wide bright green lawn. I stomp on it, but afterward can't shake it from my foot. Finally I flick the dead rabbit away. Have I been bitten? No. Still, I tell a young girl to get help."
"0394"	"(2017-06-27)"	"I've met a woman. At the M's house, after dinner we plan to make love. At a bodega, we look at cans of food, at one type in particular which has concentrated protein. Back at the house, the woman sits next to a charismatic man. She's clearly more interested in him then me. I sit to the right of them, forming an awkward triangle. On the table, a large carrot cake. Is it the one bought by Florence? No. I'm angry, sad, disappointed, but try to be happy for the new couple. I will leave. I will leave the table and not return."
"0395"	"(2017-07-02)"	"Half asleep in my bedroom, I hear someone nearby. Outside the window, looking in, a man obscured by a burlap curtain. We grapple and I pull him inside. He and Dave B have done construction work on my bedroom. The man, who has a DA haircut, says they've done two jobs here without my knowledge. I yell at this man. I tell him that's not right, grab him by his clothes and begin to slam his head against the wall. My first attempts are awkward, but I get the knack and repeatedly bang his head into the wall. As Dave watches, the man breaks free, escapes my room, runs fifty meters across a courtyard, climbs into the window of an old brick apartment building. ""Dave. Your friend got away."" He doesn't care to answer. I think about going after the escaped man."
"0396"	"(2017-07-02)"	"I break into my grammar school, run down the hallways to the gym, to other areas, to a secret darkened third floor room. Twice, I do that. On the second time I forget my pack. When I return for it, janitors are present. I hear their voices, their cleaning movements. To reach the third floor, I enter unknown corridors and stairways, which lead to small well-kept living quarters. Outside, I must climb a flimsy string ladder to get back to the third floor. A janitor approaches. I must climb quickly, but it's difficult, there are only a few strings to grab hold of. ""Excuse me,"" I say to an attractive middle-aged woman who passes by. In a kind voice, she says the same to me."
"0397"	"(2017-07-02)"	"It's morning. My dog sleeps in bed with me. I'm so happy to see her. She whines a bit. Is she sick? Restless? Does she need to go outside?"
"0398"	"(2017-07-03)"	"At a college or Y orientation, a well dressed Harvard student, thin, somewhat arrogant, tells me he's leaving. The program or position he wants is not on offer. I go into the black and white tiled bathroom, don a jacket and tie, remove the tie. Back with the students, I'm bare chested. Secretly, I want them to view my body, which is firm and trim. The scene changes. In a small darkened room, along with dozens of students packed like sardines, I lie on my back, bare chested. I want to be seen."
"0399"	"(2017-07-04)"	"A young couple, having lost their way, spend the night on the first floor of the house I share with my girlfriend. Something about them is not right. Are they drunkards? Thieves? Addicts? Do they have guns? As I lie in bed on the second floor, the man, I imagine it's him, taps gently on the first floor walls. Or is he drilling holes with a nail? I've had enough. I'm calling the police. ""I want them out of there,"" I will tell the 911 operator. ""I want them out of here."""
"0400"	"(2017-07-04)"	"At a small once well-stocked book store, two twelve year old girls peruse the shelves. I consider telling them there were more books to select from, now there are less. ""Mister, can you take us to a dojo?"" one girls asks. I tell her no. I tell her, ""You can go to a dojo and ask to sit on the sides and observe. That's the way to do it."" She insists. One of the girls attempts to touch my crotch. I start to leave. I will call the police and tell them a young girl has tried to fondle me. I hope the police will believe what I say, not place me under arrest."
"0401"	"(2017-07-07)"	"I'm sitting in a studio with several young people, in a building similar to Ivy Hill. The room was once part of a larger apartment. From the pair of futon beds that occupy most of the space, I can tell that two people live here. There is hardly anything else, only the built-in wall cabinets, a translucent plastic cabinet on the floor. In Brooklyn, this is what it has come to. At night, in the darkened hallway, I meet two loud, crazed older men, tenants, possibly high. Each man tries to intimidate me, but I'm not afraid. Instead, I will tell the landlord not to rent to persons of this type. Eating a sandwich, I walk outside to Ivy Hill Park. After circling the building, I return to the room, but all the young people are gathered outside on a large wood porch. Suddenly, the lights go out, but no one panics. Back at the room, I talk with people who look familiar. I ask a man if I've shown him my dream journal, and check to make sure it's still in the plastic cabinet on the floor. But this isn't my room. I will return to my apartment."
